strain,orien,roundness,aspect,size,tilt,nearest_grain,ferrite_bainite,size4,division
3.0,2.0,0.657,0.8390000000000001,0.5854021458219124,19.242999999999995,47.2652,1.0,0.4209413423134153,28.09364548494983
0.0,1.0,0.502,0.67,1.17961469183178,70.258,34.2053,1.0,1.0807424230558385,8.38174273858921
1.0,2.0,0.471,0.369,0.8281776176677892,47.945,32.5576,0.0,0.7968517503328373,3.782505910165497
2.0,2.0,0.266,0.332,0.6656746808677265,88.913,34.2053,1.0,0.4992560106507949,25.0
2.0,3.0,0.326,0.506,0.5521184117785262,41.53200000000001,51.5461,1.0,0.4346464092724568,21.276595744680847
2.0,2.0,0.242,0.14300000000000002,0.5335186780483985,38.433,32.5576,0.0,0.3798261414362911,28.807339449541274
0.0,1.0,0.438,0.721,1.2500978933354217,9.139999999999986,47.2652,1.0,0.7067898817448508,43.46123727486296
0.0,1.0,0.556,0.589,0.6245594799906022,45.56200000000001,32.6956,1.0,0.38374187485316,38.557993730407524
2.0,3.0,0.136,0.812,1.3156864280679772,3.881,29.7321,1.0,0.7537786827472786,42.708333333333336
0.0,1.0,0.258,0.8270000000000001,3.435077139948312,87.171,47.2969,1.0,1.4292426971571774,58.392704474209175
2.0,1.0,0.563,0.687,0.4248570757302843,22.274,32.6956,1.0,0.1859973373012765,56.22119815668204
0.0,3.0,0.302,0.716,1.7992795050512962,2.982,50.01,0.0,1.2628240269402458,29.81501632208923
0.0,2.0,0.603,0.505,0.3191322734748219,1.405,32.2025,1.0,0.10376693554702797,67.48466257668714
3.0,3.0,0.324,0.914,1.8110267053019031,86.196,36.0694,0.0,0.9456496201738586,47.78378378378378
2.0,3.0,0.265,0.395,0.5462448116532227,71.237,36.0139,0.0,0.4268149424387188,21.863799283154126
0.0,3.0,0.292,0.318,0.5207925444435743,87.902,40.05,1.0,0.4268149424387188,18.04511278195487
0.0,3.0,0.46,0.716,0.4463936095230637,46.64099999999999,36.0139,0.0,0.3191322734748219,28.508771929824533
3.0,3.0,0.284,0.183,0.471845876732712,84.69,46.0109,0.0,0.2643120056386561,43.98340248962656
3.0,1.0,0.17800000000000002,0.104,0.4698880100242776,29.345,47.0744,0.0,0.29759573968204245,36.66666666666667
0.0,1.0,0.221,0.23,1.8051531051766,1.9989999999999952,50.01,1.0,1.0866160231811417,39.804772234273344
